 Popolazione residente al 1° gennaio 2019 per sesso, età e stato civile
ItaliaEtà	Celibi	Coniugati	Divorziati	Vedovi	Uniti civilmente	Maschi già in unione civile (per scioglimento unione)	Maschi già in unione civile (per decesso del partner)	Totale maschi	Nubili	Coniugate	Divorziate	Vedove	Unite civilmente	Femmine già in unione civile (per scioglimento unione)	Femmine già in unione civile (per decesso del partner)	Totale femmine	Totale
0	221.685	0	0	0	0	0	0	221.685	209.322	0	0	0	0	0	0	209.322	431.007
1	234.386	0	0	0	0	0	0	234.386	221.360	0	0	0	0	0	0	221.360	455.746
2	241.671	0	0	0	0	0	0	241.671	229.142	0	0	0	0	0	0	229.142	470.813
3	248.155	0	0	0	0	0	0	248.155	234.791	0	0	0	0	0	0	234.791	482.946
4	256.257	0	0	0	0	0	0	256.257	241.983	0	0	0	0	0	0	241.983	498.240
5	260.616	0	0	0	0	0	0	260.616	246.502	0	0	0	0	0	0	246.502	507.118
6	272.398	0	0	0	0	0	0	272.398	257.211	0	0	0	0	0	0	257.211	529.609
7	276.672	0	0	0	0	0	0	276.672	261.137	0	0	0	0	0	0	261.137	537.809
8	285.251	0	0	0	0	0	0	285.251	268.440	0	0	0	0	0	0	268.440	553.691
9	289.719	0	0	0	0	0	0	289.719	273.327	0	0	0	0	0	0	273.327	563.046
10	292.417	0	0	0	0	0	0	292.417	276.854	0	0	0	0	0	0	276.854	569.271
11	292.452	0	0	0	0	0	0	292.452	275.360	0	0	0	0	0	0	275.360	567.812
12	293.239	0	0	0	0	0	0	293.239	275.337	0	0	0	0	0	0	275.337	568.576
13	291.565	0	0	0	0	0	0	291.565	273.470	0	0	0	0	0	0	273.470	565.035
14	293.836	0	0	0	0	0	0	293.836	277.332	0	0	0	0	0	0	277.332	571.168
15	292.016	0	0	0	0	0	0	292.016	274.845	0	0	0	0	0	0	274.845	566.861
16	290.455	12	7	2	0	0	0	290.476	273.110	21	8	2	0	0	0	273.141	563.617
17	295.097	17	10	3	0	0	0	295.127	275.611	47	4	1	0	0	0	275.663	570.790
18	306.015	43	8	2	0	0	0	306.068	280.379	415	7	4	0	0	0	280.805	586.873
19	307.317	190	25	21	1	0	0	307.554	276.333	1.626	10	5	7	0	0	277.981	585.535
20	313.057	469	14	12	5	2	0	313.559	274.819	3.705	21	9	5	0	0	278.559	592.118
21	309.390	928	16	20	11	1	1	310.367	273.257	6.454	37	6	6	0	0	279.760	590.127
22	307.996	1.996	25	28	20	1	0	310.066	271.245	10.193	60	12	19	0	0	281.529	591.595
23	304.434	3.743	45	24	36	0	0	308.282	266.591	15.466	120	19	26	0	0	282.222	590.504
24	303.847	6.047	74	25	39	1	1	310.034	265.122	22.566	181	33	25	2	0	287.929	597.963
25	304.249	10.134	85	30	52	2	0	314.552	263.130	32.228	364	46	44	1	0	295.813	610.365
26	310.791	16.317	159	49	61	0	0	327.377	262.651	45.721	510	67	62	1	1	309.013	636.390
27	300.291	24.506	257	35	69	2	0	325.160	248.331	60.208	770	82	47	1	0	309.439	634.599
28	295.804	35.412	364	35	120	2	0	331.737	236.642	77.982	1.129	141	81	0	1	315.976	647.713
29	279.225	48.606	564	68	114	2	1	328.580	219.584	96.407	1.663	189	106	3	0	317.952	646.532
30	270.451	64.677	787	66	157	2	0	336.140	204.597	118.408	2.130	261	144	1	1	325.542	661.682
31	247.613	79.604	1.039	79	183	1	0	328.519	183.336	133.748	2.862	349	140	4	0	320.439	648.958
32	231.760	96.152	1.397	84	229	2	1	329.625	168.402	150.110	3.707	436	147	2	1	322.805	652.430
33	223.361	112.954	1.978	96	210	2	0	338.601	160.187	168.284	4.751	534	176	2	1	333.935	672.536
