Popolazione residente al 1° gennaio 2021 per sesso, età e stato civile
ItaliaEtà	Celibi	Coniugati	Divorziati	Vedovi	Uniti civilmente	Maschi già in unione civile (per scioglimento unione)	Maschi già in unione civile (per decesso del partner)	Totale maschi	Nubili	Coniugate	Divorziate	Vedove	Unite civilmente	Femmine già in unione civile (per scioglimento unione)	Femmine già in unione civile (per decesso del partner)	Totale femmine	Totale
0	208.412	0	0	0	0	0	0	208.412	196.544	0	0	0	0	0	0	196.544	404.956
1	216.969	0	0	0	0	0	0	216.969	206.300	0	0	0	0	0	0	206.300	423.269
2	228.106	0	0	0	0	0	0	228.106	215.465	0	0	0	0	0	0	215.465	443.571
3	238.741	0	0	0	0	0	0	238.741	225.498	0	0	0	0	0	0	225.498	464.239
4	246.617	0	0	0	0	0	0	246.617	233.858	0	0	0	0	0	0	233.858	480.475
5	253.592	0	0	0	0	0	0	253.592	239.726	0	0	0	0	0	0	239.726	493.318
6	257.712	0	0	0	0	0	0	257.712	243.319	0	0	0	0	0	0	243.319	501.031
7	262.489	0	0	0	0	0	0	262.489	247.948	0	0	0	0	0	0	247.948	510.437
8	273.619	0	0	0	0	0	0	273.619	258.440	0	0	0	0	0	0	258.440	532.059
9	278.649	0	0	0	0	0	0	278.649	262.846	0	0	0	0	0	0	262.846	541.495
10	287.198	0	0	0	0	0	0	287.198	269.994	0	0	0	0	0	0	269.994	557.192
11	291.582	0	0	0	0	0	0	291.582	274.675	0	0	0	0	0	0	274.675	566.257
12	294.561	0	0	0	0	0	0	294.561	278.502	0	0	0	0	0	0	278.502	573.063
13	294.772	0	0	0	0	0	0	294.772	277.231	0	0	0	0	0	0	277.231	572.003
14	295.760	0	0	0	0	0	0	295.760	277.420	0	0	0	0	0	0	277.420	573.180
15	294.449	0	0	0	0	0	0	294.449	275.666	0	0	0	0	0	0	275.666	570.115
16	296.070	11	3	1	0	0	0	296.085	278.661	27	5	2	0	0	0	278.695	574.780
17	294.136	6	6	1	0	0	0	294.149	275.489	30	4	1	0	0	0	275.524	569.673
18	292.748	18	4	4	0	0	0	292.774	273.176	202	10	1	0	0	0	273.389	566.163
19	299.268	76	12	1	1	0	0	299.358	276.027	886	9	1	1	0	0	276.924	576.282
20	309.666	259	15	5	3	1	0	309.949	280.489	2.451	17	2	0	1	0	282.960	592.909
21	307.660	763	24	18	6	0	0	308.471	274.498	4.997	51	16	11	1	0	279.574	588.045
22	311.556	1.443	31	9	13	0	0	313.052	272.381	8.239	62	11	10	2	0	280.705	593.757
23	306.742	2.536	28	15	19	1	1	309.342	269.356	12.008	102	9	21	3	0	281.499	590.841
24	304.184	4.372	64	14	50	2	0	308.686	265.632	17.247	161	27	32	3	0	283.102	591.788
25	298.200	7.875	89	7	62	0	1	306.234	257.522	25.052	294	38	35	6	0	282.947	589.181
26	294.858	11.642	140	14	72	3	0	306.729	252.702	34.250	431	55	50	5	0	287.493	594.222
27	292.140	17.652	198	27	107	5	0	310.129	247.303	45.986	750	76	91	5	0	294.211	604.340
28	296.160	26.420	305	22	116	2	0	323.025	243.734	62.120	973	109	99	10	1	307.046	630.071
29	282.636	36.822	521	34	132	3	0	320.148	227.910	78.145	1.319	147	87	9	0	307.617	627.765
30	274.725	51.265	775	39	196	8	1	327.009	214.699	96.540	1.964	220	133	7	1	313.564	640.573
31	257.120	65.430	1.047	54	205	3	1	323.860	197.659	114.858	2.658	273	180	14	0	315.642	639.502
32	248.165	82.078	1.395	75	240	6	1	331.960	183.826	135.618	3.381	376	235	11	1	323.448	655.408
33	226.638	96.251	1.745	72	278	4	0	324.988	165.431	148.343	4.155	475	247	13	0	318.664	643.652
34	211.712	111.603	2.326	102	314	12	1	326.070	152.781	162.113	5.249	584	206	6	2	320.941	647.011
35	203.597	128.166	3.052	115	309	6	0	335.245	145.952	178.557	6.541	716	253	13	1	332.033	667.278
36	193.426	144.693	3.724	169	270	6	1	342.289	137.784	192.246	7.639	904	256	9	1	338.839	681.128
37	184.248	159.264	4.518	202	337	8	2	348.579	130.641	204.076	8.973	1.081	249	6	1	345.027	693.606
38	178.524	175.333	5.483	236	316	8	1	359.901	126.510	219.517	10.489	1.418	283	11	1	358.229	718.130
39	169.243	185.253	6.350	315	345	8	1	361.515	120.026	227.711	11.944	1.670	238	6	0	361.595	723.110
40	163.996	200.012	7.504	363	330	8	2	372.215	114.782	238.454	13.761	1.964	230	10	1	369.202	741.417
41	159.399	212.364	8.888	457	392	11	3	381.514	112.489	251.940	15.772	2.363	252	8	0	382.824	764.338
42	161.620	229.089	10.576	613	356	6	5	402.265	113.207	267.868	18.431	2.905	243	9	1	402.664	804.929
43	158.274	242.397	12.160	693	429	11	3	413.967	111.401	281.378	20.611	3.425	262	9	2	417.088	831.055
44	157.398	258.642	14.256	843	393	6	3	431.541	110.765	297.113	23.087	4.068	246	10	1	435.290	866.831
45	156.836	276.950	16.421	1.087	475	8	2	451.779	110.243	314.549	26.409	4.808	286	6	0	456.301	908.080
46	155.373	293.662	18.677	1.249	500	10	6	469.477	109.002	330.726	28.810	5.841	263	7	4	474.653	944.130
47	144.635	298.285	20.311	1.469	467	7	2	465.176	102.877	332.385	30.785	6.505	280	4	1	472.837	938.013
48	138.111	308.233	21.823	1.733	451	7	3	470.361	97.314	338.393	32.925	7.516	235	3	0	476.386	946.747
49	130.485	315.732	23.978	1.978	475	9	7	472.664	92.766	346.320	34.867	8.675	227	9	3	482.867	955.531
50	120.384	320.081	24.960	2.260	473	6	7	468.171	86.591	345.238	36.296	9.730	218	8	1	478.082	946.253
51	114.965	333.917	27.496	2.592	452	4	3	479.429	84.112	357.485	37.906	11.449	191	7	1	491.151	970.580
52	107.028	336.515	27.627	3.001	476	10	2	474.659	79.252	356.236	38.762	13.139	195	8	3	487.595	962.254
53	100.235	341.742	29.189	3.380	459	3	7	475.015	75.944	360.012	39.607	14.832	192	4	6	490.597	965.612
54	95.257	349.501	30.444	4.081	478	5	1	479.767	72.357	363.958	40.148	16.584	156	3	3	493.209	972.976
55	87.733	353.531	31.361	4.479	480	2	6	477.592	68.684	364.065	40.499	18.920	172	3	4	492.347	969.939
56	82.184	362.391	32.175	5.101	440	2	7	482.300	65.542	370.204	41.268	21.772	167	5	6	498.964	981.264
57	71.211	341.887	30.130	5.506	434	7	8	449.183	58.565	350.260	38.231	23.072	148	2	2	470.280	919.463
58	63.734	332.577	28.844	5.908	380	4	5	431.452	53.913	339.092	35.880	25.894	120	4	2	454.905	886.357
59	58.739	327.576	27.612	6.265	383	0	6	420.581	50.636	332.148	34.882	28.572	117	2	4	446.361	866.942
60	52.505	320.241	25.925	6.922	334	1	6	405.934	46.731	320.776	33.121	31.455	113	2	2	432.200	838.134
61	48.416	313.385	24.680	7.515	288	3	9	394.296	43.972	311.873	30.739	34.371	94	1	4	421.054	815.350
62	43.701	299.271	22.460	8.081	302	4	5	373.824	39.889	297.336	28.723	36.930	78	1	6	402.963	776.787
63	40.631	296.858	21.708	8.625	266	2	1	368.091	37.883	292.827	27.177	40.593	87	1	2	398.570	766.661
64	37.073	292.182	20.066	9.511	223	4	5	359.064	34.992	285.245	25.371	44.424	66	0	2	390.100	749.164
