Popolazione residente al 1° gennaio 2023 per età e sesso (s)
ItaliaEtà	Totale maschi	Totale femmine	Totale
0	203.968	191.380	395.348
1	206.457	195.997	402.454
2	211.046	198.677	409.723
3	219.154	208.065	427.219
4	229.863	216.861	446.724
5	240.259	226.363	466.622
6	246.571	233.760	480.331
7	253.188	239.251	492.439
8	260.787	246.234	507.021
9	264.658	249.747	514.405
10	276.098	260.586	536.684
11	281.024	264.859	545.883
12	289.472	271.991	561.463
13	293.739	276.509	570.248
14	297.046	280.564	577.610
15	297.391	279.163	576.554
16	298.599	279.585	578.184
17	297.619	278.059	575.678
18	301.360	282.489	583.849
19	297.279	276.671	573.950
20	296.590	275.530	572.120
21	301.836	279.003	580.839
22	310.282	283.722	594.004
23	309.038	280.571	589.609
24	313.299	281.686	594.985
25	310.157	283.161	593.318
26	310.103	284.913	595.016
27	307.623	284.758	592.381
28	308.862	289.601	598.463
29	312.660	296.419	609.079
30	325.236	309.268	634.504
31	323.031	309.785	632.816
32	329.611	315.784	645.395
33	326.191	317.416	643.607
34	334.613	325.045	659.658
35	327.153	320.066	647.219
36	328.128	322.291	650.419
37	337.305	333.188	670.493
38	343.828	339.842	683.670
39	349.785	346.020	695.805
40	361.013	358.824	719.837
41	362.289	361.856	724.145
42	372.574	369.601	742.175
43	382.249	383.228	765.477
44	402.539	402.930	805.469
45	414.240	417.360	831.600
46	431.937	435.408	867.345
47	451.742	456.290	908.032
48	469.420	474.509	943.929
49	465.152	472.809	937.961
50	470.049	476.472	946.521
51	472.221	482.685	954.906
52	467.571	477.896	945.467
53	478.695	490.749	969.444
54	473.639	486.960	960.599
55	473.758	489.725	963.483
56	478.635	492.662	971.297
57	476.139	491.233	967.372
58	480.494	497.652	978.146
59	446.897	468.467	915.364
60	428.978	452.536	881.514
61	417.506	443.210	860.716
62	402.654	428.559	831.213
63	390.399	416.976	807.375
64	369.644	398.452	768.096
65	363.179	393.494	756.673
66	353.413	384.653	738.066
67	343.776	376.658	720.434
68	334.882	370.081	704.963
69	318.050	351.087	669.137
70	308.681	345.131	653.812
71	304.078	342.402	646.480
72	310.891	352.672	663.563
73	308.022	352.094	660.116
74	314.675	365.225	679.900
75	301.503	352.934	654.437
76	293.180	349.678	642.858
77	219.447	266.926	486.373
78	218.824	271.183	490.007
79	211.157	270.025	481.182
80	201.268	262.849	464.117
81	193.453	259.038	452.491
82	201.945	277.199	479.144
83	187.588	263.259	450.847
84	168.211	245.218	413.429
85	142.338	215.135	357.473
86	119.197	190.403	309.600
87	108.884	181.089	289.973
88	91.756	161.696	253.452
89	75.908	141.340	217.248
90	61.012	122.465	183.477
91	49.910	105.894	155.804
92	40.758	94.138	134.896
93	28.824	71.772	100.596
94	20.835	56.802	77.637
95	14.946	43.936	58.882
96	9.997	32.626	42.623
97	6.589	23.767	30.356
98	4.276	16.723	20.999
99	2.833	11.695	14.528
100 e oltre	3.730	18.142	21.872
Totale	28.749.359	30.101.358	58.850.717
